countries,judicial independence,impartial courts,protection of property rights,military interference in rule of law and politics,integrity of the legal system,legal enforcement of contracts,regulatory restrictions on the sale of real property,reliability of police,gender legal rights adjustment,legal system & property rights,revenue from trade taxes (% of trade sector),mean tariff rate,standard deviation of tariff rates,tariffs,non-tariff trade barriers,compliance costs of importing and exporting,regulatory trade barriers,black market exchange rates,financial openness,capital controls,freedom of foreigners to visit,controls of the movement of capital and people,freedom to trade internationally,ownership of banks,private sector credit,interest rate controls/negative real interest rates),credit market regulations,hiring regulations and minimum wage,hiring and firing regulations,centralized collective bargaining,hours regulations,mandated cost of worker dismissal,conscription,labor market regulations,administrative requirements,regulatory burden,starting a business,impartial public administration,licensing restrictions,tax compliance,business regulations,regulation,corruption perceptions index,human development index,categories
Tajikistan,4.51,3.95,4.83,6.4,1.92,5.67,8.46,5.99,0.88,4.75,9.19,8.46,7.66,8.44,5.32,4.54,4.93,10.0,1.2,6.15,0.0,2.45,6.45,8.0,9.47,8.0,8.49,5.57,5.87,7.37,8.0,7.76,0.0,5.76,5.62,2.89,9.59,2.77,8.35,7.49,6.12,6.79,25.0,0.685,medium
Tanzania,5.64,4.46,4.83,5.83,7.14,5.71,7.02,5.16,0.88,5.39,7.95,7.38,5.02,6.78,5.03,0.8,2.91,10.0,1.64,1.54,10.0,4.39,6.02,8.0,8.31,9.0,8.44,5.57,4.82,5.95,10.0,8.27,5.0,6.6,4.61,1.33,8.63,6.1,7.91,7.68,6.04,7.03,38.0,0.549,low
Thailand,5.41,5.03,5.54,3.33,4.47,5.26,7.46,4.37,0.94,4.96,9.63,7.96,3.8,7.13,5.69,7.99,6.84,10.0,4.17,1.54,0.0,1.9,6.47,8.0,0.0,10.0,6.0,5.57,5.57,5.64,10.0,1.37,0.0,4.69,4.58,6.67,9.78,2.72,9.08,7.43,6.71,5.8,36.0,0.8,very_high
Timor-Leste,5.91,4.51,3.02,6.4,5.99,0.0,7.59,1.4,1.0,3.47,9.45,9.5,10.0,9.65,5.4,5.05,5.22,10.0,5.54,8.46,0.0,4.23,7.28,7.6,1.04,9.0,5.02,2.23,5.73,7.36,8.0,5.51,10.0,6.47,5.58,5.56,9.58,6.8,7.54,7.38,7.07,6.19,40.0,0.607,medium
Togo,4.66,3.23,6.48,4.17,4.42,3.9,8.81,5.6,1.0,5.1,6.55,7.58,7.05,7.06,4.85,3.29,4.07,10.0,1.64,0.77,0.0,0.8,5.48,10.0,10.0,5.0,8.33,1.67,4.38,5.85,8.0,7.01,0.0,4.48,4.38,4.0,9.81,3.76,8.15,8.22,6.39,6.4,29.0,0.539,low
Trinidad and Tobago,6.59,5.15,5.45,8.33,5.46,2.96,6.24,3.59,0.94,5.31,8.9,8.38,5.27,7.52,5.93,6.18,6.05,7.91,8.36,6.15,0.0,4.84,6.58,8.0,0.0,10.0,6.0,10.0,3.62,6.05,10.0,5.14,10.0,7.47,3.46,6.44,9.66,6.66,6.78,7.65,6.77,6.75,40.0,0.81,very_high
Tunisia,5.62,4.69,5.57,5.83,7.89,4.88,7.33,5.78,0.71,5.08,8.83,7.68,5.27,7.26,5.16,8.09,6.63,8.1,1.64,0.77,0.0,0.8,5.7,5.0,5.49,10.0,6.83,6.1,3.35,5.47,10.0,5.51,3.0,5.57,3.18,5.11,9.68,7.09,8.74,8.39,7.03,6.48,44.0,0.731,high
Turkey,3.74,3.95,5.42,3.33,4.41,4.5,8.93,5.58,0.94,4.84,9.42,7.78,0.81,6.0,5.56,9.57,7.57,10.0,1.64,2.31,8.41,4.12,6.92,5.0,8.31,4.0,5.77,5.57,4.26,7.1,8.0,2.52,5.0,5.41,4.41,5.33,9.71,1.88,9.28,8.09,6.45,5.88,40.0,0.838,very_high
Uganda,4.77,4.39,5.05,3.33,5.33,4.87,7.92,4.33,0.82,4.56,7.65,7.26,4.47,6.46,5.57,4.62,5.09,10.0,10.0,8.46,0.0,6.15,6.93,8.0,6.58,9.0,7.86,10.0,5.63,8.15,8.0,10.0,10.0,8.63,4.48,4.44,8.81,4.52,9.06,7.81,6.52,7.67,27.0,0.525,low
Ukraine,4.05,3.52,3.86,8.33,5.34,4.28,9.16,4.62,0.82,4.92,9.43,9.1,7.98,8.84,5.41,7.24,6.33,10.0,0.0,0.0,0.0,0.0,6.29,5.0,4.85,9.0,6.28,5.57,5.53,5.78,6.0,9.25,0.0,5.35,4.39,4.89,9.79,4.3,9.73,6.33,6.57,6.07,33.0,0.773,high
United Arab Emirates,5.83,7.68,7.77,8.33,5.88,5.83,9.91,8.61,0.88,7.04,10.0,9.08,7.92,9.0,7.11,8.33,7.72,10.0,10.0,5.38,0.0,5.13,7.96,5.0,10.0,8.0,7.67,10.0,6.93,7.38,6.0,10.0,0.0,6.72,7.03,6.44,9.69,7.31,10.0,8.7,8.2,7.53,71.0,0.911,very_high
United Kingdom,7.78,7.47,7.49,10.0,8.18,6.07,8.02,6.98,1.0,7.75,8.6,8.98,6.51,8.03,6.62,9.32,7.97,10.0,10.0,4.62,0.0,4.87,7.72,8.0,1.09,10.0,6.36,8.9,6.64,7.4,8.0,8.53,10.0,8.25,5.56,5.33,9.86,9.72,9.52,8.72,8.12,7.58,77.0,0.929,very_high
United States,7.57,7.71,7.6,6.67,7.41,6.76,8.92,7.81,1.0,7.56,9.07,9.32,6.48,8.29,6.52,9.8,8.16,10.0,10.0,3.85,0.0,4.62,7.77,10.0,1.94,10.0,7.31,8.9,7.18,7.79,10.0,10.0,10.0,8.98,5.77,6.89,9.86,8.08,9.6,8.04,8.04,8.11,67.0,0.921,very_high
Uruguay,7.76,6.65,6.81,5.83,6.58,3.59,6.45,5.05,0.94,5.91,8.62,7.94,6.87,7.81,5.79,6.57,6.18,10.0,10.0,8.46,0.0,6.15,7.54,5.0,7.13,10.0,7.38,8.9,2.51,1.61,8.0,4.61,10.0,5.94,3.18,7.11,9.54,8.62,6.59,8.17,7.2,6.84,71.0,0.809,very_high
Venezuela,2.2,1.18,0.98,1.67,2.22,2.44,8.14,1.37,1.0,2.52,8.45,7.24,6.08,7.26,3.76,10.0,6.88,10.0,0.0,0.0,0.0,0.0,6.03,5.0,0.0,5.0,3.33,0.0,1.56,5.66,4.0,6.52,0.0,2.24,1.28,0.0,4.44,0.79,4.98,0.0,1.91,2.5,15.0,0.691,medium
Vietnam,3.48,4.3,4.97,5.0,5.43,5.09,8.79,5.3,0.94,5.14,9.12,8.1,5.4,7.54,4.88,5.75,5.32,10.0,4.17,0.77,0.0,1.65,6.13,7.6,8.32,10.0,9.16,7.77,5.46,6.53,10.0,2.52,0.0,5.38,3.98,6.22,9.43,4.43,8.21,5.7,6.33,6.96,36.0,0.703,high
"Yemen, Rep.",2.94,2.25,2.78,4.17,2.77,3.78,9.05,3.43,0.41,2.75,8.92,8.48,7.81,8.4,4.05,10.0,7.02,0.0,10.0,6.92,1.33,6.08,5.38,7.6,0.0,0.0,0.0,8.9,3.37,7.0,8.0,2.52,10.0,6.63,2.94,0.0,8.28,2.16,8.37,7.22,4.12,3.58,15.0,0.455,low
Zambia,4.89,4.52,4.78,8.33,5.12,3.51,6.03,3.58,0.94,4.95,8.82,7.3,5.41,7.18,5.28,2.43,3.85,10.0,10.0,8.46,0.0,6.15,6.8,5.0,7.15,9.0,7.05,3.33,4.8,7.49,8.0,0.0,10.0,5.6,4.22,3.11,9.37,4.73,7.85,8.23,6.25,6.3,33.0,0.565,medium
Zimbabwe,4.11,3.29,3.06,3.33,4.6,2.37,7.05,3.9,1.0,3.97,7.61,8.2,5.94,7.61,5.2,1.33,3.26,10.0,4.17,0.0,0.0,1.39,5.57,8.0,10.0,2.0,6.67,6.67,2.96,3.55,8.0,6.26,10.0,6.24,2.41,2.67,8.33,3.33,7.99,7.29,5.34,6.08,24.0,0.593,medium
